,epoch,train_accuracy,val_accuracy,train_uar,val_uar
0,0,0.4608333333333333,0.37383177570093457,0.4608333333333333,0.48390446521287644
1,1,0.5308333333333334,0.37383177570093457,0.5308333333333333,0.4470404984423676
2,2,0.5341666666666667,0.36682242990654207,0.5341666666666667,0.44003115264797504
3,3,0.5566666666666666,0.3925233644859813,0.5566666666666666,0.4932502596053998
4,4,0.56,0.5070093457943925,0.5599999999999999,0.5398310401523018
5,5,0.5708333333333333,0.4205607476635514,0.5708333333333333,0.42816718587746627
6,6,0.5766666666666667,0.530373831775701,0.5766666666666667,0.5366443838698511
7,7,0.6091666666666666,0.4158878504672897,0.6091666666666666,0.4213893215645552
8,8,0.6133333333333333,0.5350467289719626,0.6133333333333333,0.4853203963309103
9,9,0.6225,0.4252336448598131,0.6225,0.4372782537210107
